ImageID,Rows,Columns,NumberOfOnes,BrHorizontalniPromeni,AvgHorizontalnaPromena,BrVertikalniPromeni,AvgVertikalnaPromena,Cluster
162,20,24,181.000000,143.000000,2.216783,113.000000,3.035398,3
163,16,28,227.000000,227.000000,0.903084,205.000000,1.048780,3
164,16,16,129.000000,80.000000,2.000000,102.000000,1.352941,1
165,32,40,355.000000,415.000000,2.007229,401.000000,2.092269,2
166,32,20,258.000000,361.000000,0.684211,346.000000,0.791908,2
167,32,40,256.000000,348.000000,2.586207,332.000000,2.734940,2
168,32,21,333.000000,294.000000,1.176871,300.000000,1.170000,2
169,28,36,504.000000,686.000000,0.428571,660.000000,0.472727,2
17,8,9,22.000000,40.000000,0.600000,35.000000,0.800000,1
18,12,18,50.000000,82.000000,1.487805,69.000000,1.869565,1
19,12,12,24.000000,44.000000,2.000000,42.000000,2.142857,1
20,16,20,56.000000,78.000000,2.897436,76.000000,2.947368,1
21,12,8,24.000000,42.000000,1.000000,42.000000,1.095238,1
22,13,20,29.000000,56.000000,3.410714,50.000000,3.800000,1
23,14,28,69.000000,116.000000,2.258621,111.000000,2.279279,1
24,12,18,41.000000,67.000000,2.044776,47.000000,3.212766,1
26,18,20,44.000000,85.000000,3.023529,81.000000,3.197531,1
27,18,19,40.000000,77.000000,3.207792,75.000000,3.306667,1
28,18,20,63.000000,108.000000,2.166667,83.000000,3.096386,1
29,12,16,36.000000,58.000000,2.103448,62.000000,1.838710,1
30,14,18,100.000000,189.000000,0.259259,187.000000,0.251337,3
31,7,36,126.000000,211.000000,0.161137,62.000000,2.483871,3
32,12,20,52.000000,86.000000,1.651163,90.000000,1.444444,1
33,12,20,42.000000,78.000000,1.923077,73.000000,2.013699,1
34,12,20,44.000000,81.000000,1.814815,78.000000,1.820513,1
37,12,20,42.000000,78.000000,1.923077,69.000000,2.188406,1
39,8,12,32.000000,59.000000,0.491525,56.000000,0.500000,1
40,8,12,32.000000,59.000000,0.491525,56.000000,0.500000,1
41,8,12,64.000000,59.000000,0.491525,56.000000,0.500000,1
