47,16,24,122,72,4.1111,75,3.8,1,31.304
49,12,12,39,52,1.5385,47,1.8085,1,16.333
50,12,12,122,36,2.6667,37,2.5676,1,22.15
51,16,28,62,119,2.6303,114,2.6842,1,34.011
52,16,28,71,110,2.9273,105,3,1,33.183
55,12,20,46,30,6.6,78,1.8205,1,19.205
56,12,20,42,46,3.9565,68,2.2353,1,19.182
57,12,20,44,49,3.6531,70,2.1429,1,19.835
58,16,16,52,88,1.7273,55,3.3636,1,22.926
59,16,16,48,86,1.7907,38,5.3158,1,20.853
60,16,16,60,94,1.5532,39,5.1538,1,22.888
61,4,12,24,20,1.2,36,0,1,9.6014
62,4,16,32,28,1.1429,48,0,1,12.757
63,4,16,32,28,1.1429,48,0,1,12.757
64,12,8,48,84,0,40,1.2,1,19.084
65,12,8,48,84,0,40,1.2,1,19.084
66,12,8,48,84,0,40,1.2,1,19.084
69,20,12,84,68,2.2353,147,0.55102,1,32.971
6,10,10,41,76,0.18421,72,0.25,1,20.688
70,20,12,84,66,2.3333,154,0.48052,1,33.468
71,20,16,86,81,2.7037,130,1.3385,1,33.293
7,8,8,32,56,0,56,0,1,15.805
80,16,9,70,34,2.7647,118,0.14407,1,24.686
83,8,32,60,35,6.0857,26,7.6154,1,17.257
84,8,16,32,30,3,35,2.2,1,12.466
85,8,8,34,40,0.4,40,0.4,1,12.92
86,8,8,40,24,1.3333,24,1.3333,1,10.537
87,8,8,40,16,2.5,16,2.5,1,9.1865
88,6,30,38,46,2.7826,39,2.8462,1,16.262
89,6,22,42,50,1.52,42,1.619,1,16.312
8,8,8,22,38,0.47368,38,0.47368,1,11.355
91,12,16,96,96,0.875,80,1.2,1,29.839
92,12,16,96,108,0.66667,112,0.57143,1,34.103
93,12,16,98,72,1.5,64,1.75,1,26.201
96,12,12,72,66,1,66,1,1,22.719
97,16,24,104,103,2.5728,96,2.75,1,34.407
99,16,24,86,86,3.2791,80,3.5,1,29.513
9,8,16,84,41,1.9268,38,1.9474,1,18.855
113,24,36,386,455,0.84615,450,0.84,2,1204.3
115,32,18,191,348,0.56322,371,0.50404,2,855.61
117,26,40,185,360,1.8167,354,1.8249,2,862.36
